"name";"reviewNum";"searchKey";"givenKey";"address";"latitude";"longitude";"id"
"Canadian International School Private Swimming Pool";1;"school";"School";"36 Nam Long Shan Rd, Aberdeen";22.241812;114.167313;419
"Diocesan Girls' School";86;"school";"Girls' High School";"1 Jordan Rd, Jordan";22.306938;114.173188;421
"Twghs Ng Sheung Lan Memorial Nursery School";0;"school";"Nursery school";"199 Hennessy Rd, Wan Chai";22.277938;114.174563;422
"Hennessy Road Government Primary School";30;"school";"Primary school";"163 Thomson Rd, Wan Chai";22.277437;114.175812;423
"Sheng Kung Hui Tang Shiu Kin Secondary School";28;"school";"Middle school";"9 Oi Kwan Rd, Morrison Hill";22.275813;114.178688;424
"Chinese International School";53;"school";"International school";"1 Hau Yuen Path";22.283563;114.197938;425
"CCC Wanchai Church Kei To Primary School";20;"school";"Primary school";"45 Tung Kun St, Yau Ma Tei";22.311438;114.168938;426
"Pun U Association Wah Yan Primary School";20;"school";"Primary school";"Wan Chai, Stubbs Rd, 1F Shiu Fai Terrace";22.273188;114.176188;428
"Hong Kong School Of Commerce - Kowloon";6;"school";"School";"81 Austin Rd, Tsim Sha Tsui";22.303313;114.170813;429
"Mount Kelly School Hong Kong Tsim Sha Tsui";4;"school";"School";"152號 Austin Rd, Tsim Sha Tsui";22.303063;114.175188;430
"St. Joseph's Primary School";21;"school";"Primary school";"Wan Chai, Wood Rd, 48號";22.275438;114.176688;431
"TWGHs Li Chi Ho Primary School";16;"school";"Primary school";"280 Queen's Rd E, Wan Chai";22.275438;114.177188;432
"St. Paul's Convent School";53;"school";"Girls' High School";"140 Leighton Rd, Causeway Bay";22.278563;114.187188;433
"BSD Education";8;"school";"Educational Institution";"18/F, Fu Fai Commercial Centre, 27 Hillier Street, Sheung Wan";22.285188;114.151312;434
"Mount Kelly School Hong Kong";3;"school";"School";"Tsim Sha Tsui, Austin Rd, GF, 2 and 3 Floor, 152";22.303063;114.175063;435
"St. Paul's Primary Catholic School";8;"school";"Primary school";"Happy Valley, Wong Nai Chung Rd, 81號號 Race Tower";22.273062;114.184312;438
"ESF Tennis Classes at Bradbury School";12;"school";"Tennis Instructor";"43 Stubbs Rd";22.265813;114.179938;439
"ITS Tutorial School TST";1;"school";"Tutoring service";"Cameron Plaza, Shop A-C, 5/F, Cameron Plaza, 25A Tsim Sha Tsui, 23 Cameron Rd, Tsim Sha Tsui";22.299313;114.174313;440
"St. Mary's Canossian School";20;"school";"Primary school";"87-89 Kimberley Rd, Tsim Sha Tsui";22.302812;114.175812;442
"Kowloon Rhenish School";19;"school";"School";"Yau Yat Chuen, Dianthus Rd, 2A號2A號";22.329562;114.175563;443
"Hong Kong Red Cross Hospital Schools";0;"school";"Special education school";"West Kowloon, Hoi Ting Rd, 19號room 907";22.314562;114.162313;444
"Princess School";1;"school";"School";"18 Ocean Park Rd, Ocean Park";22.246813;114.174438;445
"South Island School";21;"school";"School";"50 Nam Fung Rd, Deep Water Bay";22.254063;114.182813;447
"Pole Dance - A Queen Arts School";1;"school";"School";"Prospect Building, 號 樓 493 室, 491-493A Nathan Rd, Yau Ma Tei";22.311687;114.170688;448
"The Woodland Happy Valley Pre-School";1;"school";"Preschool";"2 Hawthorn Road, Happy Valley";22.266187;114.187563;449
"Methodist College";23;"school";"Middle school";"50號 Gascoigne Rd, King's Park";22.309063;114.171938;450
"G.T. (Ellen Yeung) College (Junior Primary Section)";13;"school";"Primary school";"31 Sai Yee St, Mong Kok";22.317813;114.171813;452
"香港香水學校 Hong Kong Perfume School";0;"school";"Educational Institution";"1605, Beverley Commercial Centre, F,, 87-105 Chatham Rd S, Tsim Sha Tsui";22.301438;114.175937;453
"Beacon College";18;"school";"Private school";"301-302,602,701A, 701B, 702A ,702B, Ginza Square, 565-567 Nathan Rd, Yau Ma Tei";22.314687;114.170188;455
"Hong Kong True Light Secondary School";7;"school";"School";"50 Tai Hang Rd, Tai Hang";22.275563;114.194063;457
"Caritas Ling Yuet Sin Kindergarten";9;"school";"Kindergarten";"54 Pok Fu Lam Rd, Sai Wan";22.284937;114.139688;458
"Yaumati Catholic Primary School";0;"school";"Primary school";"41 Tung Kun Street, Yau Ma Tei";22.311313;114.167813;459
"Rosaryhill School Primary Section";6;"school";"Elementary school";"41B Stubbs Rd";22.263563;114.182938;460
"T.W.G.Hs. Lo Yu Chik Primary School";25;"school";"Primary school";"51 Pitt St, Mong Kok";22.314313;114.171187;461
"Top Schools Hong Kong";1;"school";"Educational consultant";"Central, Queen Victoria St, 15號, Yue Shing Commercial Building, 14/F";22.283437;114.155563;462
"Po Kok Primary School";12;"school";"Primary school";"11 Shan Kwong Rd, Happy Valley";22.267313;114.185313;463
"Belilios Public School";37;"school";"Girls' High School";"51號 Tin Hau Temple Rd, North Point";22.285313;114.193312;464
"Full Luck Mahjong School";1;"school";"Education center";"G/F, Kam Po Building, No. 69-73 Woosung Street, Yaumatei, Kowloon, Jordan";22.306938;114.170437;466
"Queen's College";70;"school";"Middle school";"120 Causeway Rd, Causeway Bay";22.281313;114.191437;467
"Wall Street English 英語學院 (銅鑼灣分校) - WSE Causeway Bay Centre";3;"school";"Private school";"19/F, Causeway Bay Plaza Two, 463-483 Lockhart Rd, Causeway Bay";22.280563;114.182188;468
"HK True Light Middle School Primary Section";20;"school";"Primary school";"50 Tai Hang Rd, Causeway Bay";22.276063;114.194688;469
"American International School";39;"school";"International school";"125 Waterloo Rd, Kowloon Tong";22.331687;114.178312;470
"Stamford American";16;"school";"School";"25號 Man Fuk Rd, Ho Man Tin";22.319313;114.178563;471
"Chan's Creative school";18;"school";"School";"71 Boundary St, Yau Yat Chuen";22.327187;114.172563;472
"Confucius Hall Secondary School";15;"school";"Middle school";"77 Caroline Hill Rd, Causeway Bay";22.274563;114.187563;474
"Precious Blood Primary School";10;"school";"Primary school";"72 Sing Woo Rd, Happy Valley";22.266312;114.187937;475
"保良局陳麗玲(百周年)學校";5;"school";"Special education school";"15號 Chi Kiang St, To Kwa Wan";22.314313;114.190563;477
"Kingston International School";12;"school";"International school";"105 & 113 Waterloo Rd, Kowloon Tong";22.327438;114.178063;478
"Diocesan Boys' School Primary Division";0;"school";"School";"131 Argyle St, Kadoorie Hill";22.321312;114.173188;479
"Aoi Pui School";3;"school";"Special education school";"16 Station Ln, Hung Hom";22.307937;114.185938;480
"ESF Lions Football Class at Quarry Bay School";15;"school";"Soccer Practice";"Football pitch, 6 Hau Yuen Path, Quarry Bay";22.284313;114.198438;481
"Pui Ching Primary School";51;"school";"Primary school";"80 Waterloo Rd, Ho Man Tin";22.318188;114.175563;482
"Hin school";0;"school";"School";"9 Hoi Ting Rd, Mong Kok";22.313062;114.165062;484
"Kowloon Junior School";15;"school";"International school";"20 Perth St, Ho Man Tin";22.321688;114.181937;485
"Westbourne School of English";0;"school";"School";"Mong Kok Rd, Mong Kok";22.320813;114.168688;486
"The Hong Kong Polytechnic University Lui Che Woo Building";1;"school";"School";"Hung Hom, 紅磡";22.302812;114.179562;490
"Diocesan Boys’ School Primary Division";6;"school";"Primary school";"131 Argyle St, Kadoorie Hill";22.321312;114.173437;491
"Complete Deelite";4;"school";"Baking supply store";"Central, On Lan St, 2/F On Lan Centre";22.280813;114.156813;492
"Parkview International Pre-School";0;"school";"Kindergarten";"88 Tai Tam Reservoir Rd, Tai Tam";22.257938;114.198687;493
"The International Montessori School Primary Section Stanley Campus";7;"school";"Primary school";"Phase III, Ma Hang Estate, Stanley";22.219437;114.209188;494
"Maryknoll Convent School (Secondary Section)";52;"school";"Catholic school";"5號 Ho Tung Rd, Kowloon Tsai";22.328188;114.179438;495
"Bishop Hall Jubilee School";43;"school";"High school";"Kowloon Tong, Oxford Rd, 2C號";22.329813;114.180938;496
"CUHK MBA Town Centre";1;"school";"Learning center";"Unit B, 1/F, Bank Of America Tower, 12 Harcourt Road, Admiralty";22.280688;114.163063;497
"The Woodland Montessori Pre-School (Repulse Bay)";2;"school";"Preschool";"Shop G118-119, G/F, The Repulse Bay, 109 Repulse Bay Rd, Repulse Bay";22.239063;114.195938;498
"香港理工大學玻璃天幕";1;"school";"School";"Hung Hom Bay";22.304438;114.179688;499
"Concordia International School";14;"school";"International school";"68 Begonia Rd, Yau Yat Chuen";22.331438;114.172312;500
"Homantin Government Secondary School";23;"school";"High school";"8 Perth St, Ho Man Tin";22.321063;114.180313;501
"Hennessy Road Government Primary School (Causeway Bay)";12;"school";"Primary school";"3 Eastern Hospital Rd, Causeway Bay";22.277813;114.188813;502
"X Block, The Hong Kong Polytechnic University";0;"school";"School";"Hung Hom Bay";22.305563;114.180062;503
"Yew Chung International School - Primary Section";1;"school";"School";"11-13 Kent Rd, Kowloon Tong";22.338437;114.176188;505
"The Church of Christ in China Hong Kong Council Hip Woh School (Kindergarten Section)";5;"school";"Kindergarten";"231 Sai Yeung Choi St N, Tong Mi";22.328062;114.167562;506
"ABC Pathways School (黃埔分校 Whampoa Campus)";6;"school";"Education center";"Wonderful Worlds of Whampoa, Treasure World(Site 11), G/F, G27, Hung Hom";22.306063;114.189563;507
"Yew Chung International School - Secondary Section";14;"school";"International school";"3 To Fuk Rd, Kowloon Tong";22.335688;114.177188;508
"Hong Kong Art School";2;"school";"School";"Room 819, 8/F, Youth Square, 238 Chai Wan Road, Chai Wan, Hong Kong, Chai Wan";22.263063;114.236813;510
"H.k.s.p.c. S.i.a. Whampoa Nursery School";4;"school";"Kindergarten";"Hung Hom";22.304688;114.187188;511
"Yew Chung International School - Early Childhood Education";6;"school";"Kindergarten";"151 Waterloo Rd, Kowloon Tong";22.338688;114.178688;512
"Carmel School Association Elsa High School";7;"school";"High school";"460 Shau Kei Wan Rd, Shau Kei Wan";22.276313;114.229813;513
"Kellett School Kowloon Bay";40;"school";"International school";"7 Lam Hing St, Kowloon Bay";22.324688;114.206813;514
"School of Continuing Education, Hong Kong Baptist University - Campus Learning Centre Headquarters";1;"school";"University department";"9 Baptist University Rd, Kowloon Tsai";22.336063;114.182688;515
"The International Montessori School Kindergarten Section Aldrich Bay Campus";0;"school";"School";"G/F, i-UniQ Grand, 155, Shau Kei Wan Rd, Shau Kei Wan";22.280938;114.223437;516
"Hillside International Kindergarten";1;"school";"Kindergarten";"43 Stubbs Rd, Happy Valley";22.266063;114.180062;518
"Delia School of Canada";41;"school";"International school";"Taikoo Shing, Kao Shan Terrace Kam Shan Mansion, Tai Fung Ave, Quarry Bay";22.285938;114.218188;519
"Hong Kong Sheng Kung Hui";6;"school";"Seminary";"1 Glenealy, Central";22.279687;114.155813;520
"Aberdeen Technical School";14;"school";"Technical school";"1 Wong Chuk Hang Rd";22.248813;114.160812;521
"Discovery Bay International School";8;"school";"Primary school";"Discovery Bay Rd, Discovery Bay";22.301312;114.012313;522
"Hong Kong International School";62;"school";"International school";"1 Red Hill Rd, Tai Tam";22.237937;114.223188;523
"Ng Wah Catholic Primary School";27;"school";"Primary school";"5 Choi Hung Rd, Kowloon City";22.333187;114.194938;524
"Yew Chung Int'l Children's Hse (Kent Rd)(A.M.)";0;"school";"Kindergarten";"29號 Kent Rd, Kowloon Tong";22.339813;114.175438;525
"Nord Anglia International School Hong Kong, Primary & Secondary Campus";32;"school";"International school";"11 On Tin Street, Lam Tin";22.309188;114.237938;526
"Fukien Secondary School (Kwun Tong)";44;"school";"Middle school";"83 Chun Wah Rd, Kwun Tong";22.322438;114.221313;527
"City University of Hong Kong Cheng Yick-Chi Building";0;"school";"School";"Kowloon Tong, 達之路83號";22.337063;114.173188;528
"Kwong Wah Hospital";154;"school";"General Hospital";"25號 Waterloo Rd, Yau Ma Tei";22.315063;114.172438;529
"Tsan Yuk Hospital";24;"school";"Government Hospital";"30 Hospital Rd, Sai Ying Pun";22.286188;114.144563;530
"Queen Mary Hospital";156;"school";"Government Hospital";"Queen Mary Hospital Main Block, Pok Fu Lam Rd, High West";22.270313;114.131437;531
"Tung Wah Group Of Hospitals";14;"school";"Hospital";"12 Po Yan St, Sheung Wan";22.285063;114.147062;532
"St Paul's Hospital";109;"school";"Private Hospital";"2 Eastern Hospital Rd, Causeway Bay";22.278438;114.188188;533
"Matilda International Hospital";43;"school";"Private Hospital";"41 Mount Kellett Rd, The Peak";22.259063;114.149313;534
"Kwai Chung Hospital";22;"school";"Hospital";"Kwai Chung Hospital Block L, 3-15 Kwai Chung Hospital Rd, Kwai Chung";22.343438;114.133438;535
"Tung Wah Group of Hospitals Fung Yiu King Hospital";14;"school";"Hospital";"Sandy Bay";22.271437;114.124812;536
"Caritas Medical Centre";32;"school";"Hospital";"Sham Shui Po, Wing Hong St, 111號明愛醫院懷信樓";22.341437;114.153188;537
"Alice Ho Miu Ling Nethersole Hospital_Patient Resource Centres";0;"school";"Community Health Centre";"Tai Po, Chuen On Rd, 11號雅麗氏何妙齡那打素醫院A座地下";22.458563;114.174813;538
"Matilda Medical Centre (Central)";1;"school";"Medical clinic";"502, Prosperity Tower, 39 Queen's Road Central, Central";22.282562;114.156188;539
"Alice Ho Miu Ling Nethersole Hospital_Eye";1;"school";"Ophthalmology clinic";"Tai Po, 新界大埔全安路11號";22.458187;114.174813;540
"威爾斯親王醫院 - 外科";0;"school";"Surgical center";"Prince Of Wales Hospital Li Ka Shing Specialist Clinics South Wing, 30號 Ngan Shing St, Sha Tin";22.378313;114.201313;541
"Department of Surgery,CUHK";0;"school";"Hospital";"Lui Che Woo Clinical Sciences Building (Professorial Block), 30-32 Ngan Shing St, Sha Tin";22.378938;114.200938;542
"Sin Chi Ming Doctors_tsuen Wan";0;"school";"Hospital";"Kwai Chung, 新界荃灣梨木樹邨梨木樹商場1樓120號舖康健綜合醫務中心";22.378313;114.136563;543
"PhiDerma Aesthetics Centre";0;"school";"Medical Center";"8F, Albion Plaza,, 2-6 Granville Road, Tsim Sha Tsui, Tsim Sha Tsui";22.299438;114.172688;544
"Mui Wo Clinic";1;"school";"Medical clinic";"Mui Wo, 大嶼山梅窩銀鑛灣路2號地下及一樓";22.266063;113.997937;545
"Matilda Clinic - Caine Road";0;"school";"Medical clinic";"116 Caine Rd, Mid-level";22.282687;114.150188;546
"University Health Service, HKU";3;"school";"Medical clinic";"Meng Wah Complex, University of Hong Kong, 3f Pok Fu Lam Rd, Pok Fu Lam";22.282313;114.139063;547
"Queen Mary Hospital Staff Canteen";221;"school";"Restaurant";"Queen Mary Hospital Block K, Pok Fu Lam Rd, High West";22.270938;114.130812;548
"Tung Wah Group of Hospitals Social Service";0;"school";"Point of interest";"Tung Wah Hospital, Tai Ping Shan";22.285063;114.146563;549
"Queen Mary Hospital - Emergency Room";9;"school";"Emergency Room";"102 Pok Fu Lam Rd, High West";22.270687;114.131312;550
"Pathology Building, Queen Mary Hospital";4;"school";"102 Pokfulam Road, Southern District, High West";"74CJ+QG Hong Kong";22.271938;114.131312;551
"Kwong Wah Hospital_Accident & Emergency Department";8;"school";"Emergency Room";"25 Waterloo Rd, Yau Ma Tei";22.315437;114.172563;552
